"","Date2","ATTD","CAP","Pr"
"1","2012,Nov,2","18624","18624","100%"
"2","2012,Nov,7","18624","18624","100%"
"3","2012,Nov,9","18624","18624","100%"
"4","2012,Nov,14","18624","18624","100%"
"5","2012,Nov,17","18624","18624","100%"
"6","2012,Nov,21","18624","18624","100%"
"7","2012,Nov,23","18624","18624","100%"
"8","2012,Nov,28","18624","18624","100%"
"9","2012,Nov,30","18624","18624","100%"
"10","2012,Dec,5","18624","18624","100%"
"11","2012,Dec,8","18624","18624","100%"
"12","2012,Dec,12","18624","18624","100%"
"13","2012,Dec,19","18624","18624","100%"
"14","2012,Dec,21","18624","18624","100%"
"15","2013,Jan,2","18624","18624","100%"
"16","2013,Jan,4","18624","18624","100%"
"17","2013,Jan,9","18624","18624","100%"
"18","2013,Jan,11","18624","18624","100%"
"19","2013,Jan,14","18624","18624","100%"
"20","2013,Jan,16","18624","18624","100%"
"21","2013,Jan,18","18624","18624","100%"
"22","2013,Jan,24","18624","18624","100%"
"23","2013,Jan,27","18624","18624","100%"
"24","2013,Jan,30","18624","18624","100%"
"25","2013,Feb,1","18624","18624","100%"
"26","2013,Feb,3","18624","18624","100%"
"27","2013,Feb,7","18624","18624","100%"
"28","2013,Feb,10","18624","18624","100%"
"29","2013,Feb,13","18624","18624","100%"
"30","2013,Mar,1","18624","18624","100%"
"31","2013,Mar,8","18624","18624","100%"
"32","2013,Mar,13","18624","18624","100%"
"33","2013,Mar,16","18624","18624","100%"
"34","2013,Mar,18","18624","18624","100%"
"35","2013,Mar,26","18624","18624","100%"
"36","2013,Mar,29","18624","18624","100%"
"37","2013,Apr,3","18624","18624","100%"
"38","2013,Apr,5","18624","18624","100%"
"39","2013,Apr,7","18624","18624","100%"
"40","2013,Apr,10","18624","18624","100%"
"41","2013,Nov,1","18624","18624","100%"
"42","2013,Nov,6","17130","18624","91.978%"
"43","2013,Nov,11","18624","18624","100%"
"44","2013,Nov,13","17032","18624","91.452%"
"45","2013,Nov,15","18624","18624","100%"
"46","2013,Nov,22","18624","18624","100%"
"47","2013,Nov,27","17319","18624","92.993%"
"48","2013,Nov,29","17685","18624","94.958%"
"49","2013,Dec,3","16649","18624","89.395%"
"50","2013,Dec,6","17263","18624","92.692%"
"51","2013,Dec,11","17587","18624","94.432%"
"52","2013,Dec,13","17479","18624","93.852%"
"53","2013,Dec,16","17071","18624","91.661%"
"54","2013,Dec,18","17101","18624","91.822%"
"55","2013,Dec,21","18169","18624","97.557%"
"56","2013,Dec,28","18264","18624","98.067%"
"57","2013,Dec,31","18624","18624","100%"
"58","2014,Jan,3","18624","18624","100%"
"59","2014,Jan,13","17750","18624","95.307%"
"60","2014,Jan,15","17569","18624","94.335%"
"61","2014,Jan,17","18624","18624","100%"
"62","2014,Jan,24","18624","18624","100%"
"63","2014,Jan,26","18624","18624","100%"
"64","2014,Jan,29","18624","18624","100%"
"65","2014,Feb,2","18624","18624","100%"
"66","2014,Feb,7","18624","18624","100%"
"67","2014,Feb,9","17650","18624","94.77%"
"68","2014,Feb,12","17922","18624","96.231%"
"69","2014,Feb,26","16605","18624","89.159%"
"70","2014,Mar,1","18624","18624","100%"
"71","2014,Mar,5","18155","18624","97.482%"
"72","2014,Mar,7","18195","18624","97.697%"
"73","2014,Mar,9","18624","18624","100%"
"74","2014,Mar,12","18624","18624","100%"
"75","2014,Mar,14","18624","18624","100%"
"76","2014,Mar,19","18624","18624","100%"
"77","2014,Mar,26","18341","18624","98.48%"
"78","2014,Mar,30","18624","18624","100%"
"79","2014,Apr,4","18624","18624","100%"
"80","2014,Apr,11","18624","18624","100%"
"81","2014,Apr,16","18624","18624","100%"
"82","2014,Oct,29","18624","18624","100%"
"83","2014,Nov,5","16249","18624","87.248%"
"84","2014,Nov,7","17122","18624","91.935%"
"85","2014,Nov,12","17043","18624","91.511%"
"86","2014,Nov,14","18624","18624","100%"
"87","2014,Nov,17","16726","18624","89.809%"
"88","2014,Nov,23","16692","18624","89.626%"
"89","2014,Nov,28","18203","18624","97.739%"
"90","2014,Nov,30","17121","18624","91.93%"
"91","2014,Dec,3","15870","18624","85.213%"
"92","2014,Dec,5","18624","18624","100%"
"93","2014,Dec,7","16716","18624","89.755%"
"94","2014,Dec,12","17989","18624","96.59%"
"95","2014,Dec,17","16764","18624","90.013%"
"96","2014,Dec,19","17042","18624","91.506%"
"97","2014,Dec,26","18624","18624","100%"
"98","2014,Dec,31","18624","18624","100%"
"99","2015,Jan,2","18624","18624","100%"
"100","2015,Jan,5","16720","18624","89.777%"
"101","2015,Jan,12","16905","18624","90.77%"
"102","2015,Jan,14","16067","18624","86.27%"
"103","2015,Jan,16","18624","18624","100%"
"104","2015,Jan,30","17675","18624","94.904%"
"105","2015,Feb,1","17366","18624","93.245%"
"106","2015,Feb,4","15126","18624","81.218%"
"107","2015,Feb,6","18322","18624","98.378%"
"108","2015,Feb,11","16083","18624","86.356%"
"109","2015,Feb,25","16899","18624","90.738%"
"110","2015,Feb,27","18624","18624","100%"
"111","2015,Mar,1","18624","18624","100%"
"112","2015,Mar,4","16354","18624","87.811%"
"113","2015,Mar,11","17135","18624","92.005%"
"114","2015,Mar,13","18624","18624","100%"
"115","2015,Mar,16","16553","18624","88.88%"
"116","2015,Mar,22","18624","18624","100%"
"117","2015,Mar,25","18624","18624","100%"
"118","2015,Mar,29","18624","18624","100%"
"119","2015,Apr,1","18624","18624","100%"
"120","2015,Apr,3","18624","18624","100%"
"121","2015,Apr,12","18624","18624","100%"
"122","2015,Apr,14","18624","18624","100%"
"123","2015,Oct,28","18624","18624","100%"
"124","2015,Oct,30","16898","18624","90.732%"
"125","2015,Nov,1","17461","18624","93.755%"
"126","2015,Nov,6","18624","18624","100%"
"127","2015,Nov,11","17879","18624","96%"
"128","2015,Nov,13","17138","18624","92.021%"
"129","2015,Nov,18","17262","18624","92.687%"
"130","2015,Nov,20","18361","18624","98.588%"
"131","2015,Nov,25","17588","18624","94.437%"
"132","2015,Nov,27","18624","18624","100%"
"133","2015,Dec,9","17318","18624","92.988%"
"134","2015,Dec,11","18624","18624","100%"
"135","2015,Dec,15","18624","18624","100%"
"136","2015,Dec,18","18624","18624","100%"
"137","2015,Dec,21","18624","18624","100%"
"138","2015,Dec,27","18624","18624","100%"
"139","2015,Dec,30","18624","18624","100%"
"140","2016,Jan,2","18624","18624","100%"
"141","2016,Jan,6","18624","18624","100%"
"142","2016,Jan,13","18624","18624","100%"
"143","2016,Jan,15","18624","18624","100%"
"144","2016,Jan,22","18624","18624","100%"
"145","2016,Jan,27","18108","18624","97.229%"
"146","2016,Jan,29","17729","18624","95.194%"
"147","2016,Feb,3","17297","18624","92.875%"
"148","2016,Feb,7","18624","18624","100%"
"149","2016,Feb,10","18186","18624","97.648%"
"150","2016,Feb,25","18157","18624","97.492%"
"151","2016,Feb,27","18624","18624","100%"
"152","2016,Feb,29","17680","18624","94.931%"
"153","2016,Mar,2","18624","18624","100%"
"154","2016,Mar,4","18624","18624","100%"
"155","2016,Mar,9","17790","18624","95.522%"
"156","2016,Mar,11","18624","18624","100%"
"157","2016,Mar,16","18624","18624","100%"
"158","2016,Mar,21","18624","18624","100%"
"159","2016,Mar,23","18624","18624","100%"
"160","2016,Apr,6","18624","18624","100%"
"161","2016,Apr,8","18624","18624","100%"
"162","2016,Apr,11","18624","18624","100%"
"163","2016,Apr,13","18624","18624","100%"
"164","2017,26,de","18624","18624","100%"
"165","2017,2,de","18624","18624","100%"
"166","2017,6,de","17452","18624","93.707%"
"167","2017,11,de","18624","18624","100%"
"168","2017,16,de","18624","18624","100%"
"169","2017,18,de","18624","18624","100%"
"170","2017,25,de","18624","18624","100%"
"171","2017,30,de","17338","18624","93.095%"
"172","2017,2,de","18624","18624","100%"
"173","2017,9,de","18624","18624","100%"
"174","2017,16,de","18624","18624","100%"
"175","2017,23,de","18624","18624","100%"
"176","2017,27,de","18624","18624","100%"
"177","2017,30,de","18624","18624","100%"
"178","2017,3,de","18624","18624","100%"
"179","2017,6,de","18624","18624","100%"
"180","2017,7,de","18624","18624","100%"
"181","2017,11,de","18624","18624","100%"
"182","2017,16,de","18624","18624","100%"
"183","2017,18,de","18624","18624","100%"
"184","2017,21,de","18624","18624","100%"
"185","2017,25,de","18624","18624","100%"
"186","2017,27,de","18624","18624","100%"
"187","2017,30,de","18188","18624","97.659%"
"188","2017,1,de","18624","18624","100%"
"189","2017,3,de","18624","18624","100%"
"190","2017,5,de","18624","18624","100%"
"191","2017,15,de","18624","18624","100%"
"192","2017,27,de","18624","18624","100%"
"193","2017,1,de","18624","18624","100%"
"194","2017,12,de","18624","18624","100%"
"195","2017,15,de","18624","18624","100%"
"196","2017,20,de","18624","18624","100%"
"197","2017,22,de","18624","18624","100%"
"198","2017,24,de","18624","18624","100%"
"199","2017,26,de","18624","18624","100%"
"200","2017,29,de","18624","18624","100%"
"201","2017,31,de","18624","18624","100%"
"202","2017,5,de","18624","18624","100%"
"203","2017,10,de","18624","18624","100%"
"204","2017,12,de","18624","18624","100%"
"205","2017,Oct,18","18624","18624","100%"
"206","2017,Oct,24","18624","18624","100%"
"207","2017,Oct,30","18624","18624","100%"
"208","2017,Nov,1","18624","18624","100%"
"209","2017,Nov,8","18624","18624","100%"
"210","2017,Nov,10","18624","18624","100%"
"211","2017,Nov,12","18624","18624","100%"
"212","2017,Nov,16","18624","18624","100%"
"213","2017,Nov,24","18624","18624","100%"
"214","2017,Nov,27","18624","18624","100%"
"215","2017,Nov,30","18624","18624","100%"
"216","2017,Dec,2","18624","18624","100%"
"217","2017,Dec,4","18624","18624","100%"
"218","2017,Dec,6","18624","18624","100%"
"219","2017,Dec,13","18624","18624","100%"
"220","2017,Dec,15","18624","18624","100%"
"221","2017,Dec,20","18624","18624","100%"
"222","2017,Dec,23","18624","18624","100%"
"223","2017,Dec,25","18624","18624","100%"
"224","2017,Dec,28","18624","18624","100%"
"225","2017,Dec,31","18624","18624","100%"
"226","2018,Jan,3","18624","18624","100%"
"227","2018,Jan,5","18624","18624","100%"
"228","2018,Jan,16","18624","18624","100%"
"229","2018,Jan,18","18624","18624","100%"
"230","2018,Jan,21","18624","18624","100%"
"231","2018,Jan,31","18624","18624","100%"
"232","2018,Feb,2","18624","18624","100%"
"233","2018,Feb,4","18624","18624","100%"
"234","2018,Feb,9","18624","18624","100%"
"235","2018,Feb,11","18624","18624","100%"
"236","2018,Feb,14","18624","18624","100%"
"237","2018,Feb,26","18624","18624","100%"
"238","2018,Feb,28","18624","18624","100%"
"239","2018,Mar,11","18624","18624","100%"
"240","2018,Mar,14","18624","18624","100%"
"241","2018,Mar,20","18624","18624","100%"
"242","2018,Mar,31","18624","18624","100%"
"243","2018,Apr,6","18624","18624","100%"
"244","2018,Apr,8","18624","18624","100%"
"245","2018,Apr,11","18624","18624","100%"
